Food_Code	FCID_Code
12220250	101052000
12220270	101052000
12220280	101052000
12220300	101052000
12350100	101052000
12350100	101052000
12350100	101052000
12350100	101052000
13110000	101052000
13110100	101052000
13110110	101052000
13110120	101052000
13110130	101052000
13110140	101052000
13110200	101052000
13110210	101052000
13110220	101052000
13110320	101052000
13110330	101052000
13110400	101052000
13110450	101052000
13120050	101052000
13120100	101052000
13120110	101052000
13120120	101052000
13120121	101052000
13120130	101052000
13120140	101052000
13120300	101052000
13120400	101052000
13120500	101052000
13120550	101052000
13120700	101052000
13120710	101052000
13120720	101052000
13120730	101052000
13120740	101052000
13120750	101052000
13120760	101052000
13120770	101052000
13120780	101052000
13120790	101052000
13120800	101052000
13120800	101052000
13120800	101052000
13120810	101052000
13121000	101052000
13121100	101052000
13121200	101052000
13121300	101052000
13121400	101052000
13121500	101052000
13122100	101052000
13122500	101052000
13124100	101052000
13125100	101052000
13126000	101052000
13130100	101052000
13130300	101052000
13130310	101052000
13130320	101052000
13130330	101052000
13130340	101052000
13130350	101052000
13130360	101052000
13130590	101052000
13130600	101052000
13130610	101052000
13130620	101052000
13130630	101052000
13130640	101052000
13130700	101052000
13135000	101052000
13135010	101052000
13136000	101052000
13140100	101052000
13140110	101052000
13140450	101052000
13140500	101052000
13140550	101052000
13140600	101052000
13140630	101052000
13140650	101052000
13140660	101052000
13140670	101052000
13140680	101052000
13140700	101052000
13140900	101052000
13141100	101052000
13142000	101052000
13150000	101052000
13160000	101052000
13160200	101052000
13160210	101052000
13160400	101052000
13160410	101052000
13161000	101052000
13161500	101052000
13200110	101052000
13210110	101052000
13210110	101052000
13210110	101052000
13210110	101052000
13210110	101052000
13210110	101052000
13210110	101052000
13210180	101052000
13210220	101052000
13210220	101052000
13210270	101052000
13210280	101052000
13210280	101052000
13210280	101052000
13210280	101052000
13210280	101052000
13210300	101052000
13210300	101052000
13210300	101052000
13210300	101052000
13210300	101052000
13210300	101052000
13210300	101052000
13210350	101052000
13210350	101052000
13210350	101052000
13210350	101052000
13210410	101052000
13210410	101052000
13210410	101052000
13210410	101052000
13210410	101052000
13210410	101052000
13210410	101052000
13210410	101052000
13210410	101052000
13210410	101052000
13210410	101052000
13210410	101052000
13210410	101052000
13210410	101052000
13210450	101052000
13210500	101052000
13210500	101052000
13210500	101052000
13210500	101052000
13210500	101052000
13210520	101052000
13210520	101052000
13210520	101052000
13210520	101052000
13210520	101052000
13210520	101052000
13210530	101052000
13210610	101052000
13210610	101052000
13210610	101052000
13210710	101052000
13210750	101052000
13210810	101052000
13210820	101052000
13220110	101052000
13220110	101052000
13220110	101052000
13220110	101052000
13220110	101052000
13220110	101052000
13220110	101052000
13220120	101052000
13220120	101052000
13220120	101052000
13220120	101052000
13220120	101052000
13220120	101052000
13220120	101052000
13220120	101052000
13220230	101052000
13220235	101052000
13220240	101052000
13220245	101052000
13230110	101052000
13230130	101052000
13230200	101052000
13230500	101052000
13230510	101052000
13235000	101052000
13241000	101052000
13241000	101052000
13241000	101052000
13250000	101052000
13250100	101052000
13250200	101052000
13252100	101052000
13252200	101052000
13252500	101052000
13252600	101052000
14202010	101052000
14204020	101052000
14420200	101052000
14420210	101052000
14610200	101052000
14610210	101052000
14610210	101052000
14610250	101052000
14620100	101052000
14620100	101052000
14620100	101052000
14620120	101052000
14620320	101052000
14620330	101052000
14640100	101052000
14650150	101052000
14660200	101052000
14660200	101052000
14710100	101052000
14710100	101052000
14710110	101052000
14710200	101052000
21002000	101052000
21103110	101052000
21103110	101052000
21103120	101052000
21103130	101052000
21103130	101052000
21103130	101052000
21103130	101052000
21103130	101052000
21104110	101052000
21104120	101052000
21104130	101052000
21104130	101052000
21104130	101052000
21104130	101052000
21104130	101052000
21104130	101052000
21304200	101052000
21304210	101052000
21304220	101052000
21416000	101052000
21416110	101052000
21500200	101052000
21500200	101052000
21500200	101052000
21500200	101052000
21601000	101052000
21601250	101052000
21601500	101052000
21602000	101052000
21602100	101052000
21603000	101052000
22000300	101052000
22000310	101052000
22000320	101052000
22001000	101052000
22002100	101052000
22002800	101052000
22003000	101052000
22101300	101052000
22101300	101052000
22101310	101052000
22101310	101052000
22101320	101052000
22101320	101052000
22101320	101052000
22101400	101052000
22101410	101052000
22101420	101052000
22201050	101052000
22201060	101052000
22201070	101052000
22201300	101052000
22201310	101052000
22201320	101052000
22201400	101052000
22201410	101052000
22201420	101052000
22201420	101052000
22201420	101052000
22210310	101052000
22210450	101052000
22300120	101052000
22300120	101052000
22300130	101052000
22300130	101052000
22300150	101052000
22300160	101052000
22300170	101052000
22311000	101052000
22311010	101052000
22311200	101052000
22311210	101052000
22311220	101052000
22311450	101052000
22311510	101052000
22321110	101052000
22421000	101052000
22421010	101052000
22431000	101052000
22501010	101052000
22600100	101052000
22600200	101052000
22601000	101052000
22601020	101052000
22601040	101052000
22602010	101052000
22605010	101052000
22701030	101052000
22701040	101052000
22701050	101052000
22707020	101052000
22708010	101052000
23201030	101052000
23203020	101052000
23203030	101052000
23205010	101052000
23220030	101052000
23311120	101052000
23311120	101052000
23321250	101052000
23321250	101052000
23321250	101052000
23321250	101052000
23321250	101052000
23321900	101052000
23322100	101052000
23345100	101052000
24104010	101052000
24124110	101052000
24124120	101052000
24154210	101052000
24154220	101052000
24198540	101052000
24198570	101052000
24198640	101052000
24198710	101052000
24201050	101052000
24201350	101052000
24201360	101052000
24201370	101052000
24204000	101052000
24208500	101052000
24302010	101052000
25110150	101052000
25110250	101052000
25110340	101052000
25110450	101052000
25130150	101052000
25210110	101052000
25210150	101052000
25210170	101052000
25210210	101052000
25210220	101052000
25210230	101052000
25210250	101052000
25210280	101052000
25210510	101052000
25210610	101052000
25210700	101052000
25220010	101052000
25220100	101052000
25220110	101052000
25220130	101052000
25220140	101052000
25220150	101052000
25220210	101052000
25220350	101052000
25220360	101052000
25220370	101052000
25220390	101052000
25220400	101052000
